sigma,basic_SLLR,paper_SLLR,delta_SLLR,basic_SLFOR,paper_SLFOR,delta_SLFOR,basic_SNVOR,paper_SNVOR,delta_SNVOR,basic_CRI,paper_CRI,delta_CRI
0.9,0.360324132627038,0.00016134362123226,-0.360162789005806,0.70868291888262,0.00121609446944269,-0.707466824413177,0.0740463358746731,3.16870613775909e-06,-0.0740431671685353,0.372740330527681,0.000340658807855446,-0.372399671719826
0.95,0.503593567873263,0.00104744202291066,-0.502546125850352,1.10385225581369,0.00845750707521947,-1.09539474873847,0.120597348936776,4.90362999715177e-05,-0.120548312636804,0.547046061674051,0.00232977388878459,-0.544716287785266
0.98,0.666225658474345,0.0025630541726724,-0.663662604301673,1.70874623638323,0.012698822481562,-1.69604741390167,0.212404606639498,0.000390950191746877,-0.212013656447751,0.783965563689153,0.00415578703826523,-0.779809776650888
