sigma,uniform_SLLR,weighted_SLLR,delta_SLLR,uniform_SLFOR,weighted_SLFOR,delta_SLFOR,uniform_SNVOR,weighted_SNVOR,delta_SNVOR,uniform_CRI,weighted_CRI,delta_CRI
0.9,0.360324132627038,0.346586230439239,-0.013737902187799,0.70868291888262,0.70868291888262,0,0.0740463358746731,0.0690577916937775,-0.0049885441808956,0.372740330527681,0.363499880378823,-0.00924045014885799
0.95,0.503593567873263,0.485508607774258,-0.018084960099005,1.10385225581369,1.12515186092963,0.02129960511594,0.120597348936776,0.135810004159767,0.015212655222991,0.547046061674051,0.543497537682434,-0.00354852399161698
0.98,0.666225658474345,0.653237352959517,-0.012988305514828,1.70874623638323,1.70874623638323,0,0.212404606639498,0.227589916849193,0.015185310209695,0.783965563689153,0.779209642422195,-0.00475592126695801
