initial_branch,trial_id,stage_id,bus_id,voltage_pu,voltage_deviation_component,voltage_severity_component,severity_valid,replay_source
11,3,1,25,1.02254112751723,0,0,1,replayed_pf_result
11,3,1,26,1.02236208633746,0,0,1,replayed_pf_result
11,3,1,27,1.00861339132445,0,0,1,replayed_pf_result
11,3,1,28,1.02281189912566,0,0,1,replayed_pf_result
11,3,1,29,1.02309303754771,0,0,1,replayed_pf_result
11,3,1,30,1,0,0,1,replayed_pf_result
11,3,1,31,1,0,0,1,replayed_pf_result
11,3,1,32,1,0,0,1,replayed_pf_result
11,3,1,33,1,0,0,1,replayed_pf_result
11,3,1,34,1,0,0,1,replayed_pf_result
11,3,1,35,1,0,0,1,replayed_pf_result
11,3,1,36,1,0,0,1,replayed_pf_result
11,3,1,37,1,0,0,1,replayed_pf_result
11,3,1,38,1,0,0,1,replayed_pf_result
11,3,1,39,1,0,0,1,replayed_pf_result
11,4,1,1,1.00290574162653,0,0,1,replayed_pf_result
11,4,1,2,1.01225768031881,0,0,1,replayed_pf_result
11,4,1,3,1.00210390068576,0,0,1,replayed_pf_result
11,4,1,4,0.987049459501459,0,0,1,replayed_pf_result
11,4,1,5,0.994126585995821,0,0,1,replayed_pf_result
11,4,1,6,0.995612871599549,0,0,1,replayed_pf_result
11,4,1,7,0.973802534128961,0,0,1,replayed_pf_result
11,4,1,8,0.968587848225285,0,0,1,replayed_pf_result
11,4,1,9,1.00787181827197,0,0,1,replayed_pf_result
11,4,1,10,1.01107279750656,0,0,1,replayed_pf_result
11,4,1,11,1.00463214169755,0,0,1,replayed_pf_result
11,4,1,12,0.991522494136244,0,0,1,replayed_pf_result
11,4,1,13,1.00556620160659,0,0,1,replayed_pf_result
11,4,1,14,0.996945654007881,0,0,1,replayed_pf_result
11,4,1,15,0.99147215571363,0,0,1,replayed_pf_result
11,4,1,16,1.00418455132716,0,0,1,replayed_pf_result
11,4,1,17,1.00535675085032,0,0,1,replayed_pf_result
11,4,1,18,1.00274516553016,0,0,1,replayed_pf_result
11,4,1,19,1.0384932632451,0,0,1,replayed_pf_result
11,4,1,20,0.979074228133531,0,0,1,replayed_pf_result
11,4,1,21,0.994988368533105,0,0,1,replayed_pf_result
11,4,1,22,1.00446936632351,0,0,1,replayed_pf_result
11,4,1,23,0.997269719481544,0,0,1,replayed_pf_result
11,4,1,24,1.0068704855435,0,0,1,replayed_pf_result
11,4,1,25,1.02254112751723,0,0,1,replayed_pf_result
11,4,1,26,1.02236208633746,0,0,1,replayed_pf_result
11,4,1,27,1.00861339132445,0,0,1,replayed_pf_result
11,4,1,28,1.02281189912566,0,0,1,replayed_pf_result
11,4,1,29,1.02309303754771,0,0,1,replayed_pf_result
11,4,1,30,1,0,0,1,replayed_pf_result
11,4,1,31,1,0,0,1,replayed_pf_result
11,4,1,32,1,0,0,1,replayed_pf_result
11,4,1,33,1,0,0,1,replayed_pf_result
11,4,1,34,1,0,0,1,replayed_pf_result
11,4,1,35,1,0,0,1,replayed_pf_result
11,4,1,36,1,0,0,1,replayed_pf_result
11,4,1,37,1,0,0,1,replayed_pf_result
11,4,1,38,1,0,0,1,replayed_pf_result
11,4,1,39,1,0,0,1,replayed_pf_result
11,5,1,1,1.00290574162653,0,0,1,replayed_pf_result
11,5,1,2,1.01225768031881,0,0,1,replayed_pf_result
11,5,1,3,1.00210390068576,0,0,1,replayed_pf_result
11,5,1,4,0.987049459501459,0,0,1,replayed_pf_result
11,5,1,5,0.994126585995821,0,0,1,replayed_pf_result
11,5,1,6,0.995612871599549,0,0,1,replayed_pf_result
11,5,1,7,0.973802534128961,0,0,1,replayed_pf_result
11,5,1,8,0.968587848225285,0,0,1,replayed_pf_result
11,5,1,9,1.00787181827197,0,0,1,replayed_pf_result
11,5,1,10,1.01107279750656,0,0,1,replayed_pf_result
11,5,1,11,1.00463214169755,0,0,1,replayed_pf_result
11,5,1,12,0.991522494136244,0,0,1,replayed_pf_result
11,5,1,13,1.00556620160659,0,0,1,replayed_pf_result
11,5,1,14,0.996945654007881,0,0,1,replayed_pf_result
11,5,1,15,0.99147215571363,0,0,1,replayed_pf_result
11,5,1,16,1.00418455132716,0,0,1,replayed_pf_result
11,5,1,17,1.00535675085032,0,0,1,replayed_pf_result
11,5,1,18,1.00274516553016,0,0,1,replayed_pf_result
11,5,1,19,1.0384932632451,0,0,1,replayed_pf_result
11,5,1,20,0.979074228133531,0,0,1,replayed_pf_result
11,5,1,21,0.994988368533105,0,0,1,replayed_pf_result
11,5,1,22,1.00446936632351,0,0,1,replayed_pf_result
11,5,1,23,0.997269719481544,0,0,1,replayed_pf_result
11,5,1,24,1.0068704855435,0,0,1,replayed_pf_result
11,5,1,25,1.02254112751723,0,0,1,replayed_pf_result
11,5,1,26,1.02236208633746,0,0,1,replayed_pf_result
11,5,1,27,1.00861339132445,0,0,1,replayed_pf_result
11,5,1,28,1.02281189912566,0,0,1,replayed_pf_result
11,5,1,29,1.02309303754771,0,0,1,replayed_pf_result
11,5,1,30,1,0,0,1,replayed_pf_result
11,5,1,31,1,0,0,1,replayed_pf_result
11,5,1,32,1,0,0,1,replayed_pf_result
11,5,1,33,1,0,0,1,replayed_pf_result
11,5,1,34,1,0,0,1,replayed_pf_result
11,5,1,35,1,0,0,1,replayed_pf_result
11,5,1,36,1,0,0,1,replayed_pf_result
11,5,1,37,1,0,0,1,replayed_pf_result
11,5,1,38,1,0,0,1,replayed_pf_result
11,5,1,39,1,0,0,1,replayed_pf_result
11,6,1,1,1.00290574162653,0,0,1,replayed_pf_result
11,6,1,2,1.01225768031881,0,0,1,replayed_pf_result
11,6,1,3,1.00210390068576,0,0,1,replayed_pf_result
11,6,1,4,0.987049459501459,0,0,1,replayed_pf_result
11,6,1,5,0.994126585995821,0,0,1,replayed_pf_result
11,6,1,6,0.995612871599549,0,0,1,replayed_pf_result
11,6,1,7,0.973802534128961,0,0,1,replayed_pf_result
11,6,1,8,0.968587848225285,0,0,1,replayed_pf_result
11,6,1,9,1.00787181827197,0,0,1,replayed_pf_result
11,6,1,10,1.01107279750656,0,0,1,replayed_pf_result
11,6,1,11,1.00463214169755,0,0,1,replayed_pf_result
11,6,1,12,0.991522494136244,0,0,1,replayed_pf_result
11,6,1,13,1.00556620160659,0,0,1,replayed_pf_result
11,6,1,14,0.996945654007881,0,0,1,replayed_pf_result
11,6,1,15,0.99147215571363,0,0,1,replayed_pf_result
11,6,1,16,1.00418455132716,0,0,1,replayed_pf_result
11,6,1,17,1.00535675085032,0,0,1,replayed_pf_result
11,6,1,18,1.00274516553016,0,0,1,replayed_pf_result
11,6,1,19,1.0384932632451,0,0,1,replayed_pf_result
11,6,1,20,0.979074228133531,0,0,1,replayed_pf_result
11,6,1,21,0.994988368533105,0,0,1,replayed_pf_result
11,6,1,22,1.00446936632351,0,0,1,replayed_pf_result
11,6,1,23,0.997269719481544,0,0,1,replayed_pf_result
11,6,1,24,1.0068704855435,0,0,1,replayed_pf_result
11,6,1,25,1.02254112751723,0,0,1,replayed_pf_result
11,6,1,26,1.02236208633746,0,0,1,replayed_pf_result
11,6,1,27,1.00861339132445,0,0,1,replayed_pf_result
11,6,1,28,1.02281189912566,0,0,1,replayed_pf_result
11,6,1,29,1.02309303754771,0,0,1,replayed_pf_result
11,6,1,30,1,0,0,1,replayed_pf_result
11,6,1,31,1,0,0,1,replayed_pf_result
11,6,1,32,1,0,0,1,replayed_pf_result
11,6,1,33,1,0,0,1,replayed_pf_result
11,6,1,34,1,0,0,1,replayed_pf_result
11,6,1,35,1,0,0,1,replayed_pf_result
11,6,1,36,1,0,0,1,replayed_pf_result
11,6,1,37,1,0,0,1,replayed_pf_result
11,6,1,38,1,0,0,1,replayed_pf_result
11,6,1,39,1,0,0,1,replayed_pf_result
11,7,1,1,1.00290574162653,0,0,1,replayed_pf_result
11,7,1,2,1.01225768031881,0,0,1,replayed_pf_result
11,7,1,3,1.00210390068576,0,0,1,replayed_pf_result
11,7,1,4,0.987049459501459,0,0,1,replayed_pf_result
11,7,1,5,0.994126585995821,0,0,1,replayed_pf_result
11,7,1,6,0.995612871599549,0,0,1,replayed_pf_result
11,7,1,7,0.973802534128961,0,0,1,replayed_pf_result
11,7,1,8,0.968587848225285,0,0,1,replayed_pf_result
11,7,1,9,1.00787181827197,0,0,1,replayed_pf_result
11,7,1,10,1.01107279750656,0,0,1,replayed_pf_result
11,7,1,11,1.00463214169755,0,0,1,replayed_pf_result
11,7,1,12,0.991522494136244,0,0,1,replayed_pf_result
11,7,1,13,1.00556620160659,0,0,1,replayed_pf_result
11,7,1,14,0.996945654007881,0,0,1,replayed_pf_result
11,7,1,15,0.99147215571363,0,0,1,replayed_pf_result
11,7,1,16,1.00418455132716,0,0,1,replayed_pf_result
11,7,1,17,1.00535675085032,0,0,1,replayed_pf_result
11,7,1,18,1.00274516553016,0,0,1,replayed_pf_result
11,7,1,19,1.0384932632451,0,0,1,replayed_pf_result
11,7,1,20,0.979074228133531,0,0,1,replayed_pf_result
11,7,1,21,0.994988368533105,0,0,1,replayed_pf_result
11,7,1,22,1.00446936632351,0,0,1,replayed_pf_result
11,7,1,23,0.997269719481544,0,0,1,replayed_pf_result
11,7,1,24,1.0068704855435,0,0,1,replayed_pf_result
11,7,1,25,1.02254112751723,0,0,1,replayed_pf_result
11,7,1,26,1.02236208633746,0,0,1,replayed_pf_result
11,7,1,27,1.00861339132445,0,0,1,replayed_pf_result
11,7,1,28,1.02281189912566,0,0,1,replayed_pf_result
11,7,1,29,1.02309303754771,0,0,1,replayed_pf_result
11,7,1,30,1,0,0,1,replayed_pf_result
11,7,1,31,1,0,0,1,replayed_pf_result
11,7,1,32,1,0,0,1,replayed_pf_result
11,7,1,33,1,0,0,1,replayed_pf_result
11,7,1,34,1,0,0,1,replayed_pf_result
11,7,1,35,1,0,0,1,replayed_pf_result
11,7,1,36,1,0,0,1,replayed_pf_result
11,7,1,37,1,0,0,1,replayed_pf_result
