metric_name,risk_line_only,risk_unified_composite,delta_risk,relative_delta,stage_count,valid_stage_count,note
LLR,0.000557837535186364,0.000557837535186364,0,0,23,23,Diagnostic preview using chain summary severity repeated by stage; not formal VaR or paper_formula.
LFOR,0.00479227275362224,0.00479227275362224,0,0,23,23,Diagnostic preview using chain summary severity repeated by stage; not formal VaR or paper_formula.
NVOR,0.000475871302272578,0.000475871302272578,0,0,23,23,Diagnostic preview using chain summary severity repeated by stage; not formal VaR or paper_formula.
CRI,0.00138833133229078,0.00138833133229078,0,0,23,23,Diagnostic preview using chain summary severity repeated by stage; not formal VaR or paper_formula.
