initial_branch,trial_id,stage_id,bus_id,voltage_pu,voltage_deviation_component,voltage_severity_component,severity_valid,replay_source
45,16,2,19,1.02961388420717,0,0,1,replayed_after_load_shedding
45,16,2,20,0.982427678707673,0,0,1,replayed_after_load_shedding
45,16,2,21,0.994126030192568,0,0,1,replayed_after_load_shedding
45,16,2,22,1.03202532377388,0,0,1,replayed_after_load_shedding
45,16,2,23,1.02727589306068,0,0,1,replayed_after_load_shedding
45,16,2,24,0.982256997199353,0,0,1,replayed_after_load_shedding
45,16,2,25,0.9261999149753,0,0,1,replayed_after_load_shedding
45,16,2,26,0.852095018022571,0.0479049819774289,2.85581614882688,1,replayed_after_load_shedding
45,16,2,27,0.858896244497756,0.0411037555022444,2.44198642778257,1,replayed_after_load_shedding
45,16,2,28,0.839631803221287,0.0603681967787129,3.62150040205841,1,replayed_after_load_shedding
45,16,2,29,1.01115709738293,0,0,1,replayed_after_load_shedding
45,16,2,30,1.0499,0,0,1,replayed_after_load_shedding
45,16,2,31,0.982,0,0,1,replayed_after_load_shedding
45,16,2,32,0.9841,0,0,1,replayed_after_load_shedding
45,16,2,33,0.9972,0,0,1,replayed_after_load_shedding
45,16,2,34,1.0123,0,0,1,replayed_after_load_shedding
45,16,2,35,1.0494,0,0,1,replayed_after_load_shedding
45,16,2,36,1.0636,0,0,1,replayed_after_load_shedding
45,16,2,37,1.0275,0,0,1,replayed_after_load_shedding
45,16,2,38,1.0265,0,0,1,replayed_after_load_shedding
45,16,2,39,1.03,0,0,1,replayed_after_load_shedding
45,17,1,1,0.920699749494704,0,0,1,replayed_pf_result
45,17,1,2,0.99500622941313,0,0,1,replayed_pf_result
45,17,1,3,0.969555555097715,0,0,1,replayed_pf_result
45,17,1,4,0.935514325326225,0,0,1,replayed_pf_result
45,17,1,5,0.930284918604131,0,0,1,replayed_pf_result
45,17,1,6,0.93772220558463,0,0,1,replayed_pf_result
45,17,1,7,0.908008288008099,0,0,1,replayed_pf_result
45,17,1,8,0.898256939198389,0.0017430608016108,0.101530539765105,1,replayed_pf_result
45,17,1,9,0.908469701455768,0,0,1,replayed_pf_result
45,17,1,10,0.966177143832344,0,0,1,replayed_pf_result
45,17,1,11,0.955318871246199,0,0,1,replayed_pf_result
45,17,1,12,0.942610519529452,0,0,1,replayed_pf_result
45,17,1,13,0.959969025929363,0,0,1,replayed_pf_result
45,17,1,14,0.952175399860232,0,0,1,replayed_pf_result
45,17,1,15,0.971943532719853,0,0,1,replayed_pf_result
45,17,1,16,1.00014359492136,0,0,1,replayed_pf_result
45,17,1,17,0.988549557876498,0,0,1,replayed_pf_result
45,17,1,18,0.978247339889954,0,0,1,replayed_pf_result
45,17,1,19,1.03900659805617,0,0,1,replayed_pf_result
45,17,1,20,0.985431420148345,0,0,1,replayed_pf_result
45,17,1,21,1.01340994491742,0,0,1,replayed_pf_result
45,17,1,22,1.04211521420689,0,0,1,replayed_pf_result
45,17,1,23,1.03744166399318,0,0,1,replayed_pf_result
45,17,1,24,1.01023197689381,0,0,1,replayed_pf_result
45,17,1,25,0.986757329537429,0,0,1,replayed_pf_result
45,17,1,26,0.995563574881486,0,0,1,replayed_pf_result
45,17,1,27,0.98600511594081,0,0,1,replayed_pf_result
45,17,1,28,0.986590823965384,0,0,1,replayed_pf_result
45,17,1,29,1.04073467026911,0,0,1,replayed_pf_result
45,17,1,30,1.0499,0,0,1,replayed_pf_result
45,17,1,31,0.982,0,0,1,replayed_pf_result
45,17,1,32,0.9841,0,0,1,replayed_pf_result
45,17,1,33,0.9972,0,0,1,replayed_pf_result
45,17,1,34,1.0123,0,0,1,replayed_pf_result
45,17,1,35,1.0494,0,0,1,replayed_pf_result
45,17,1,36,1.0636,0,0,1,replayed_pf_result
45,17,1,37,1.0275,0,0,1,replayed_pf_result
45,17,1,38,1.0265,0,0,1,replayed_pf_result
45,17,1,39,1,0,0,1,replayed_pf_result
45,17,2,1,1.0393836,0,0,1,replayed_after_load_shedding
45,17,2,2,1.07047042628977,0,0,1,replayed_after_load_shedding
45,17,2,3,0.875108872840526,0.0248911271594741,1.46678485530436,1,replayed_after_load_shedding
45,17,2,4,0.879045267416599,0.0209547325834007,1.23238366658189,1,replayed_after_load_shedding
45,17,2,5,0.914775406487546,0,0,1,replayed_after_load_shedding
45,17,2,6,0.917680142471152,0,0,1,replayed_after_load_shedding
45,17,2,7,0.904935088068323,0,0,1,replayed_after_load_shedding
45,17,2,8,0.902086551010253,0,0,1,replayed_after_load_shedding
45,17,2,9,1.038332,0,0,1,replayed_after_load_shedding
45,17,2,10,0.933977955114457,0,0,1,replayed_after_load_shedding
45,17,2,11,0.925419434406831,0,0,1,replayed_after_load_shedding
45,17,2,12,0.911811241781077,0,0,1,replayed_after_load_shedding
45,17,2,13,0.921473129870274,0,0,1,replayed_after_load_shedding
45,17,2,14,0.908688422760641,0,0,1,replayed_after_load_shedding
45,17,2,15,0.971236093483046,0,0,1,replayed_after_load_shedding
45,17,2,16,1.01416351502657,0,0,1,replayed_after_load_shedding
45,17,2,17,1.02064851552356,0,0,1,replayed_after_load_shedding
45,17,2,18,1.01852989495163,0,0,1,replayed_after_load_shedding
45,17,2,19,1.04691203851014,0,0,1,replayed_after_load_shedding
45,17,2,20,0.993186319622449,0,0,1,replayed_after_load_shedding
45,17,2,21,1.02632905479399,0,0,1,replayed_after_load_shedding
45,17,2,22,1.04927086644645,0,0,1,replayed_after_load_shedding
45,17,2,23,1.04528282339281,0,0,1,replayed_after_load_shedding
