parameter_set_id,metric_name,candidate_branch,tail_occurrence_count_11_28,tail_occurrence_count_12_00,selected_count_11_28,selected_count_12_00,mean_P_L_11_28,mean_P_L_12_00,delta_P_L,mean_P1_11_28,mean_P1_12_00,delta_P1,mean_P2_11_28,mean_P2_12_00,delta_P2,mean_line_loading_11_28,mean_line_loading_12_00,delta_line_loading,candidate_tail_driver,note
benchmark_calibrated_seed,CRI,1,194,222,27,27,0.140497591655392,0.122970920114459,-0.0175266715409323,0.139273333923433,0.121762460655,-0.017510873268433,0.00482075874433326,0.00486626756475086,4.55088204176059e-05,0.557504502780431,0.537681913362145,-0.0198225894182863,P2_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,2,203,221,0,1,0.001679836582,0.001679836582,-4.33680868994202e-19,0.000580836582000001,0.000580836582,-2.16840434497101e-19,0.001099,0.001099,0,0.279114908661578,0.283839682144186,0.00472477348260786,line_loading_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,3,172,205,30,33,0.338187743366814,0.3132104900356,-0.024977253331214,0.336785254994721,0.311830514425844,-0.024954740568877,0.0143255435427336,0.0155500613690542,0.00122451782632057,0.841103588842791,0.836348839245768,-0.00475474959702282,P2_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,4,202,237,12,12,0.0686673087951917,0.0570618312535841,-0.0116054775416076,0.0675148434486571,0.055917261633331,-0.0115975818153261,0.00297005212483729,0.00304726950657536,7.7217381738064e-05,0.606065409180082,0.58080246223412,-0.0252629469459622,P2_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,5,214,249,0,0,0.001575046477,0.001575046477,6.50521303491303e-19,0.000476046477,0.000476046477,-5.42101086242752e-20,0.001099,0.001099,2.16840434497101e-19,0.464110828713858,0.492065785232177,0.0279549565183194,P_L_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,6,214,238,0,0,0.00660579633443212,0.0120505392642267,0.00544474292979456,0.00550679633443211,0.0109515392642267,0.00544474292979459,0.001099,0.001099,2.16840434497101e-19,0.517959271739339,0.482772123304265,-0.0351871484350741,P_L_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,7,214,238,12,12,0.104178361809944,0.0686560226905379,-0.035522339119406,0.102986838445458,0.0674965184888571,-0.0354903199566008,0.00290772563500028,0.00174631857416412,-0.00116140706083616,0.335678429234819,0.316180396077882,-0.0194980331569378,no_clear_driver,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,8,129,143,38,37,0.368411812805861,0.396786863040945,0.028375050235084,0.367033743038419,0.395467583320665,0.0284338402822462,0.00826543144072633,0.00746442490616057,-0.000801006534565763,0.707281010335608,0.729322954450802,0.0220419441151937,P_L_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,9,178,218,20,8,0.226047753196674,0.161989080994165,-0.064058672202509,0.224746506005663,0.160745585581321,-0.0640009204243419,0.0104888402849984,0.00685353142304943,-0.00363530886194899,0.725870466527967,0.572406052005989,-0.153464414521978,no_clear_driver,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,10,166,214,0,0,0.001679836582,0.001679836582,-1.30104260698261e-18,0.000580836582,0.000580836582000001,3.25260651745651e-19,0.001099,0.001099,4.33680868994202e-19,0.408956906133758,0.366824133633718,-0.0421327725000408,P1_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,11,158,163,0,0,0.001662870565,0.001662870565,-2.16840434497101e-19,0.000563870564999999,0.000563870564999999,0,0.001099,0.001099,2.16840434497101e-19,0.331595068010623,0.303558256980696,-0.0280368110299269,P2_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,12,139,168,33,35,0.223661893352655,0.209411167124875,-0.0142507262277802,0.222478720690784,0.208124667124875,-0.0143540535659096,0.00190576250593089,0.0019733374807547,6.75749748238119e-05,0.625836437433207,0.543750958528722,-0.0820854789044854,P2_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,13,105,99,58,64,0.553097141291371,0.647030301793636,0.093933160502265,0.551500998434229,0.645349483611818,0.0938484851775895,0.014495662045846,0.0119479163918835,-0.00254774565396255,0.930357832745586,0.96643553930425,0.0360777065586635,P_L_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,14,172,179,13,17,0.0801331471496721,0.0904609641659498,0.0103278170162777,0.0789975192426954,0.0893619641659498,0.0103644449232544,0.00170950096493597,0.001099,-0.000610500964935974,0.59155001450289,0.582992055843699,-0.0085579586591914,P_L_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,15,198,217,0,0,0.001121954023,0.001121954023,0,2.2954023e-05,2.2954023e-05,6.7762635780344e-21,0.001099,0.001099,2.16840434497101e-19,0.356850668020278,0.356175078641352,-0.000675589378926089,P1_increase,11.28 vs 12.00 tail candidate delta.
benchmark_calibrated_seed,CRI,16,198,217,1,0,0.0027325751443285,0.00199035342943057,-0.000742221714897926,0.0016335751443285,0.000891353429430572,-0.000742221714897929,0.001099,0.001099,2.16840434497101e-19,0.488991269578041,0.533464963881337,0.044473694303296,P2_increase,11.28 vs 12.00 tail candidate delta.
