parameter_set_id,metric_name,paired_sample_count,mean_delta,median_delta,p95_delta,fraction_delta_positive,fraction_delta_negative,mean_delta_basic_metric,mean_delta_chain_prob,dominant_driver,paper_expected_direction_match,note
benchmark_calibrated_seed,CRI,460,0.10060025119559,0,1.42859188150738,0.280434782608696,0.202173913043478,0.0582097397408345,-0.00600439560791138,no_clear_driver,0.202173913043478,paper_expected_direction_match is fraction with 12.00 lower than 11.28
benchmark_calibrated_seed,SLFOR,460,0.0737804224009418,0,1.63151732727591,0.254347826086956,0.184782608695652,0.0603951195890917,-0.00600439560791138,no_clear_driver,0.184782608695652,paper_expected_direction_match is fraction with 12.00 lower than 11.28
benchmark_calibrated_seed,SLLR,460,0.0861424092944953,0,1.0570009844793,0.28695652173913,0.195652173913043,0.0562691509429896,-0.00600439560791138,no_clear_driver,0.195652173913043,paper_expected_direction_match is fraction with 12.00 lower than 11.28
benchmark_calibrated_seed,SNVOR,460,0.170793605693523,0,1.22744125622734,0.230434782608696,0.167391304347826,0.0618461262861112,-0.00600439560791138,no_clear_driver,0.167391304347826,paper_expected_direction_match is fraction with 12.00 lower than 11.28
high_hidden_failure,CRI,460,0.0285051318959225,0,0.400832502481242,0.373913043478261,0.252173913043478,0.0595295428347982,-0.0298394199984833,no_clear_driver,0.252173913043478,paper_expected_direction_match is fraction with 12.00 lower than 11.28
high_hidden_failure,SLFOR,460,0.0403703981761334,0,0.602542408830784,0.330434782608696,0.208695652173913,0.0902780978687158,-0.0298394199984833,no_clear_driver,0.208695652173913,paper_expected_direction_match is fraction with 12.00 lower than 11.28
high_hidden_failure,SLLR,460,0.0241344979609206,0,0.330099154778002,0.367391304347826,0.258695652173913,0.0489775761208292,-0.0298394199984833,no_clear_driver,0.258695652173913,paper_expected_direction_match is fraction with 12.00 lower than 11.28
high_hidden_failure,SNVOR,460,0.0297517674207171,0,0.329111079700402,0.291304347826087,0.184782608695652,0.0604368879427869,-0.0298394199984833,no_clear_driver,0.184782608695652,paper_expected_direction_match is fraction with 12.00 lower than 11.28
low_hidden_failure,CRI,460,0.148460040840732,0,1.5473535721448,0.26304347826087,0.18695652173913,0.0361990355674269,0.000272078384995092,no_clear_driver,0.18695652173913,paper_expected_direction_match is fraction with 12.00 lower than 11.28
low_hidden_failure,SLFOR,460,0.141994124253276,0,1.71954531757306,0.232608695652174,0.180434782608696,-0.00699817351029521,0.000272078384995092,no_clear_driver,0.180434782608696,paper_expected_direction_match is fraction with 12.00 lower than 11.28
low_hidden_failure,SLLR,460,0.0881847618557442,0,0.953011122599925,0.267391304347826,0.182608695652174,0.0349911937366008,0.000272078384995092,no_clear_driver,0.182608695652174,paper_expected_direction_match is fraction with 12.00 lower than 11.28
low_hidden_failure,SNVOR,460,0.335751794383153,0,1.43653188163457,0.202173913043478,0.16304347826087,0.0830197701376264,0.000272078384995092,no_clear_driver,0.16304347826087,paper_expected_direction_match is fraction with 12.00 lower than 11.28
medium_hidden_failure,CRI,460,0.10060025119559,0,1.42859188150738,0.280434782608696,0.202173913043478,0.0582097397408345,-0.00600439560791138,no_clear_driver,0.202173913043478,paper_expected_direction_match is fraction with 12.00 lower than 11.28
medium_hidden_failure,SLFOR,460,0.0737804224009418,0,1.63151732727591,0.254347826086956,0.184782608695652,0.0603951195890917,-0.00600439560791138,no_clear_driver,0.184782608695652,paper_expected_direction_match is fraction with 12.00 lower than 11.28
medium_hidden_failure,SLLR,460,0.0861424092944953,0,1.0570009844793,0.28695652173913,0.195652173913043,0.0562691509429896,-0.00600439560791138,no_clear_driver,0.195652173913043,paper_expected_direction_match is fraction with 12.00 lower than 11.28
medium_hidden_failure,SNVOR,460,0.170793605693523,0,1.22744125622734,0.230434782608696,0.167391304347826,0.0618461262861112,-0.00600439560791138,no_clear_driver,0.167391304347826,paper_expected_direction_match is fraction with 12.00 lower than 11.28
