parameter_set_id,metric_name,initial_branch,tail_count_11_28,tail_count_12_00,tail_risk_mean_11_28,tail_risk_mean_12_00,chain_probability_mean_11_28,chain_probability_mean_12_00,severity_mean_11_28,severity_mean_12_00,delta_tail_risk_mean,delta_chain_probability,delta_severity,likely_driver,note
benchmark_calibrated_seed,SNVOR,14,7,4,2.57239160471123,2.88781247353611,0.383302402162015,0.397813478010536,1.75415456637491,1.92552049121421,0.315420868824883,0.0145110758485208,0.171365924839301,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
benchmark_calibrated_seed,SNVOR,19,4,5,5.3894707425266,15.217983180668,0.218792742955736,0.596594944862551,3.5960244356142,3.7238052436917,9.8285124381414,0.377802201906815,0.1277808080775,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
benchmark_calibrated_seed,SNVOR,20,3,2,1.28004342847326,1.8534514195668,0.231472591043989,0.335163005346619,1,1,0.57340799109354,0.10369041430263,0,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
benchmark_calibrated_seed,SNVOR,28,NaN,5,NaN,1.95374415453932,NaN,0.413053732460745,NaN,1,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
benchmark_calibrated_seed,SNVOR,42,4,3,1.33502112345654,1.95546365938053,0.26985387535343,0.324289164076373,0.79102310510515,1,0.620442535923985,0.054435288722943,0.20897689489485,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
benchmark_calibrated_seed,SNVOR,46,3,NaN,0.974612644514954,NaN,0.235413682249989,NaN,1,NaN,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,CRI,2,NaN,1,NaN,0.733411506122216,NaN,0.0616395014549284,NaN,2.04439879828613,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,CRI,10,2,3,0.70185018311681,0.93199725195447,0.120592814968524,0.160136984871902,1,1,0.23014706883766,0.039544169903378,2.22044604925031e-16,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,CRI,11,8,8,1.80120628178208,2.0395113583591,0.477745589907567,0.579107804878025,0.667295687770784,0.623330334379638,0.23830507657702,0.101362214970458,-0.0439653533911455,chain_probability_increase,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,CRI,13,NaN,1,NaN,0.82501150786806,NaN,0.16903537843508,NaN,0.9722516280767,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,CRI,14,6,6,0.973652562147726,0.986318193473834,0.186651803346889,0.187789386494194,1.38366345491075,1.3931717221862,0.012665631326108,0.00113758314730533,0.00950826727545828,both_probability_and_severity,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,CRI,19,2,1,0.690694688788116,2.59577545994256,0.083461661586313,0.275033480920914,1.20811567266302,1.37781524398594,1.90508077115444,0.191571819334601,0.169699571322917,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,CRI,20,NaN,1,NaN,1.22031771914961,NaN,0.220672281943871,NaN,1,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,CRI,28,2,3,0.496488840604446,1.13255469123322,0.104965928246183,0.239440738104274,1,1,0.636065850628774,0.134474809858091,2.66453525910038e-15,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,CRI,38,NaN,2,NaN,0.908591862681914,NaN,0.241005799119871,NaN,1,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,CRI,42,3,NaN,1.3312288127267,NaN,0.22076763063461,NaN,1,NaN,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLFOR,1,NaN,1,NaN,1.93576480712376,NaN,0.0652655025167394,NaN,6.77165452457875,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLFOR,2,NaN,1,NaN,2.42927619991466,NaN,0.0616395014549284,NaN,6.77165452457875,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLFOR,10,2,3,0.70185018311681,0.93199725195447,0.120592814968524,0.160136984871902,1,1,0.23014706883766,0.039544169903378,0,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLFOR,11,8,8,4.41415318564294,4.63143001989137,0.477745589907567,0.579107804878025,1.63531818411433,1.4154914171586,0.21727683424843,0.101362214970458,-0.21982676695573,chain_probability_increase,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLFOR,13,NaN,1,NaN,1.72175970526173,NaN,0.16903537843508,NaN,2.02904282017032,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLFOR,14,6,2,2.16594630763231,5.30849591304395,0.186651803346889,0.220949006781072,2.7612092443738,6.37291437566126,3.14254960541164,0.0342972034341833,3.61170513128746,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLFOR,19,1,1,1.491036729867,4.13348998558305,0.101618236523625,0.275033480920914,2.14203279891022,2.1940208623151,2.64245325571605,0.173415244397289,0.0519880634048797,both_probability_and_severity,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLFOR,20,NaN,1,NaN,1.22031771914961,NaN,0.220672281943871,NaN,1,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLFOR,28,2,3,0.496488840604446,1.13255469123322,0.104965928246183,0.239440738104274,1,1,0.636065850628774,0.134474809858091,0,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLFOR,35,NaN,1,NaN,0.978078227161322,NaN,0.0662878332980655,NaN,2.8706262275508,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLFOR,39,2,NaN,0.887024945948747,NaN,0.0807856036442679,NaN,2.46741299855289,NaN,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLFOR,42,3,2,1.3312288127267,1.25254975079951,0.22076763063461,0.0766960878042271,1,2.70834796506795,-0.07867906192719,-0.144071542830383,1.70834796506795,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLLR,10,2,3,0.70185018311681,0.93199725195447,0.120592814968524,0.160136984871902,1,1,0.23014706883766,0.039544169903378,0,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLLR,11,8,8,1.5306260744225,1.85537559063471,0.477745589907567,0.579107804878025,0.567053418246531,0.567053418246531,0.32474951621221,0.101362214970458,0,chain_probability_increase,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLLR,14,6,4,0.585045793382566,0.645460102842346,0.186651803346889,0.171209576350755,0.857115959918327,1,0.0604143094597797,-0.0154422269961337,0.142884040081673,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLLR,19,1,NaN,0.447339843545658,NaN,0.0653050866490011,NaN,1,NaN,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLLR,20,NaN,1,NaN,1.22031771914961,NaN,0.220672281943871,NaN,1,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLLR,23,1,4,0.503797679287194,0.940939319882898,0.165762958627667,0.309594291449644,0.700291642616277,0.700291642616277,0.437141640595704,0.143831332821977,0,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLLR,28,2,3,0.496488840604446,1.13255469123322,0.104965928246183,0.239440738104274,1,1,0.636065850628774,0.134474809858091,0,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLLR,38,NaN,2,NaN,0.908591862681914,NaN,0.241005799119871,NaN,1,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SLLR,42,3,NaN,1.3312288127267,NaN,0.22076763063461,NaN,1,NaN,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,1,NaN,1,NaN,0.550807321891805,NaN,0.0652655025167394,NaN,1.92682338253775,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,2,NaN,1,NaN,0.691232278263516,NaN,0.0616395014549284,NaN,1.92682338253775,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,10,3,3,0.571795342249322,0.93199725195447,0.0866084008369932,0.160136984871902,1.62438242596249,1,0.360201909705148,0.0735285840349088,-0.62438242596249,chain_probability_increase,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,13,1,1,0.340731898154296,1.57649746051498,0.0365339918344049,0.16903537843508,1.85785556689423,1.85785556689423,1.23576556236068,0.132501386600675,0,chain_probability_increase,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,14,6,6,0.94717912295862,0.964945314250011,0.186651803346889,0.187789386494194,1.29328233136802,1.30850683040474,0.0177661912913912,0.00113758314730533,0.0152244990367167,both_probability_and_severity,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,19,2,1,1.47523911290003,7.01557216134195,0.083461661586313,0.275033480920914,2.2980122178071,3.7238052436917,5.54033304844192,0.191571819334601,1.4257930258846,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,20,NaN,1,NaN,1.22031771914961,NaN,0.220672281943871,NaN,1,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,23,NaN,2,NaN,0.604915991209369,NaN,0.0750228205456192,NaN,1.85785556689423,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,28,2,3,0.496488840604446,1.13255469123322,0.104965928246183,0.239440738104274,1,1,0.636065850628774,0.134474809858091,0,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,35,1,1,0.395444283436322,0.729459413078727,0.03654996879738,0.0662878332980655,2.10491795273332,2.14093849036497,0.334015129642405,0.0297378645006855,0.03602053763165,both_probability_and_severity,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,38,1,2,0.398308111720748,0.908591862681914,0.105652019024071,0.241005799119871,1,1,0.510283750961166,0.1353537800958,0,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,42,4,NaN,1.11103512767024,NaN,0.184251927728599,NaN,0.999991128082456,NaN,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
high_hidden_failure,SNVOR,46,3,1,0.417585961182721,0.545047356899122,0.100866174198725,0.131653950941817,1,1,0.127461395716401,0.030787776743092,0,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
low_hidden_failure,CRI,1,1,NaN,1.44496614271768,NaN,0.161625612565694,NaN,2.0411427408627,NaN,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
low_hidden_failure,CRI,10,3,NaN,1.31298657133772,NaN,0.225599067240158,NaN,1,NaN,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
low_hidden_failure,CRI,11,7,8,2.98059061039416,3.36716928327647,0.790561322064049,0.95608882210874,0.667295687770785,0.623330334379639,0.38657867288231,0.165527500044691,-0.0439653533911464,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
low_hidden_failure,CRI,14,8,3,3.32528930890395,3.38181878719102,0.446488465906647,0.447958095744474,1.97550367329808,2.00249570122809,0.0565294782870698,0.001469629837827,0.0269920279300029,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
low_hidden_failure,CRI,19,NaN,8,NaN,6.58549156095392,NaN,0.697760917897168,NaN,1.37781524398594,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
low_hidden_failure,CRI,28,NaN,5,NaN,2.1820718279891,NaN,0.461325967862389,NaN,1,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
low_hidden_failure,CRI,42,5,2,2.40025563385893,2.18744961731814,0.395136598615649,0.362761130566855,1.00737908186208,1,-0.212806016540792,-0.032375468048794,-0.00737908186207781,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
low_hidden_failure,SLFOR,1,2,NaN,3.76379030706143,NaN,0.127143748554622,NaN,6.75859305126834,NaN,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
low_hidden_failure,SLFOR,2,2,2,2.01811877966112,4.81962392571209,0.0513059155115741,0.122291247076629,6.75859305126834,6.77165452457875,2.80150514605097,0.0709853315650549,0.01306147331041,both_probability_and_severity,11.28 vs 12.00 tail branch diagnostic; no rerun
low_hidden_failure,SLFOR,11,7,8,7.30442907680275,7.64634569780951,0.790561322064049,0.95608882210874,1.63531818411433,1.4154914171586,0.34191662100676,0.165527500044691,-0.21982676695573,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
low_hidden_failure,SLFOR,13,NaN,2,NaN,4.15357374052495,NaN,0.407781008547251,NaN,2.02904282017032,NaN,NaN,NaN,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
low_hidden_failure,SLFOR,14,8,3,10.5769887469747,10.7625906770005,0.446488465906647,0.447958095744474,6.28362773312141,6.37291437566126,0.185601930025797,0.001469629837827,0.0892866425398502,initial_branch_composition_change,11.28 vs 12.00 tail branch diagnostic; no rerun
