sigma,basic_SLLR,paper_SLLR,delta_SLLR,basic_SLFOR,paper_SLFOR,delta_SLFOR,basic_SNVOR,paper_SNVOR,delta_SNVOR,basic_CRI,paper_CRI,delta_CRI
0.9,0.396914248436658,0.000203309220357632,-0.3967109392163,0.81134519086214,0.00231335517277499,-0.809031835689365,0.0818839693271938,6.5338052289812e-06,-0.0818774355219648,0.416794381099862,0.000585963327815374,-0.416208417772047
0.95,0.563111526119123,0.000940952558103773,-0.562170573561019,1.12264928439579,0.00964981873300337,-1.11299946566279,0.132135809742217,8.58329905512609e-05,-0.132049976751666,0.588823934499075,0.00251170187957319,-0.586312232619502
0.98,0.716291809703193,0.0032265126553195,-0.713065297047873,1.81409158048572,0.0155480159611257,-1.79854356452459,0.210062387163303,0.000592646060688315,-0.209469741102615,0.83460587935172,0.0051640399975545,-0.829441839354165
