wind_speed_mps,rated_wind_capacity_mw,curve_profile,comparison_profile,paper_formula_power_mw,paper_formula_power_ratio,engineering_function_power_mw,engineering_function_power_ratio,legacy_engineering_power_mw,legacy_engineering_power_ratio,difference_mw,difference_ratio,match_status,note
11.28,3000,paper_2_12_20,engineering_3_12_25,2489.38805581395,0.829796018604651,2489.38805581395,0.829796018604651,2483.68457142857,0.827894857142857,0,0,match,Active paper-aligned profile matches the requested paper formula; legacy engineering profile is retained only as comparison.
12,3000,paper_2_12_20,engineering_3_12_25,3000,1,3000,1,3000,1,0,0,match,Active paper-aligned profile matches the requested paper formula; legacy engineering profile is retained only as comparison.
11.28,4500,paper_2_12_20,engineering_3_12_25,3734.08208372093,0.829796018604651,3734.08208372093,0.829796018604651,3725.52685714286,0.827894857142857,0,0,match,Active paper-aligned profile matches the requested paper formula; legacy engineering profile is retained only as comparison.
12,4500,paper_2_12_20,engineering_3_12_25,4500,1,4500,1,4500,1,0,0,match,Active paper-aligned profile matches the requested paper formula; legacy engineering profile is retained only as comparison.
11.28,6000,paper_2_12_20,engineering_3_12_25,4978.77611162791,0.829796018604651,4978.77611162791,0.829796018604651,4967.36914285714,0.827894857142857,0,0,match,Active paper-aligned profile matches the requested paper formula; legacy engineering profile is retained only as comparison.
12,6000,paper_2_12_20,engineering_3_12_25,6000,1,6000,1,6000,1,0,0,match,Active paper-aligned profile matches the requested paper formula; legacy engineering profile is retained only as comparison.
