parameter_set_id,scenario_id,sample_variant,sigma,metric_name,var_value,sample_count,valid_sample_count,quantile_rule,probability_status_summary,note
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.9,SLFOR,6.16,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.9,SNVOR,6.03,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.9,CRI_basic,6.03,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.9,CRI_recomputed,6.03,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.95,SLLR,6.5,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.95,SLFOR,6.85,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.95,SNVOR,6.5,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.95,CRI_basic,6.5,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.95,CRI_recomputed,6.5,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.98,SLLR,6.85,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.98,SLFOR,18.7060905719477,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.98,SNVOR,6.85,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.98,CRI_basic,6.85,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,initial_probability_weighted_display,0.98,CRI_recomputed,6.85,460,460,matlab_quantile_default,initial_probability_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.9,SLLR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.9,SLFOR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.9,SNVOR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.9,CRI_basic,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.9,CRI_recomputed,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.95,SLLR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.95,SLFOR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.95,SNVOR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.95,CRI_basic,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.95,CRI_recomputed,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.98,SLLR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.98,SLFOR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.98,SNVOR,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.98,CRI_basic,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,concentrated_bus34,transition_probability_weighted,0.98,CRI_recomputed,NaN,460,0,matlab_quantile_default,missing_transition_probability,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.9,SLLR,1,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.9,SLFOR,2.0883393408129,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.9,SNVOR,1,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.9,CRI_basic,1,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.9,CRI_recomputed,1,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
low_hidden_failure,distributed_30_39,severity_only,0.95,SLLR,1,460,460,matlab_quantile_default,severity_only,Offline reconstruction from existing formal pilot chain summaries only.
