parameter_set_id,target_group,scenario_id,sample_variant,metric_name,metric_source,sigma,paper_value,sim_var_value,absolute_gap,relative_gap,ratio_paper_to_sim,match_status,note
low_hidden_failure,penetration_scan,penetration_60pct,severity_only,CRI,CRI_basic,0.95,7.103,1.84905821832024,-5.25394178167976,0.739679155568155,3.84141293562932,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_80pct,severity_only,SLLR,SLLR,0.95,14.0526,1,-13.0526,0.928838725300747,14.0525859474141,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_80pct,severity_only,SLFOR,SLFOR,0.95,12.5517,3.22276123070372,-9.32893876929628,0.743240997319509,3.89470246374931,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_80pct,severity_only,SNVOR,SNVOR,0.95,11.8034,1.99470869670849,-9.80869130329151,0.831005513012013,5.91735229415941,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_80pct,severity_only,CRI,CRI_recomputed,0.95,13.3026,1.12469498072248,-12.1779050192775,0.91545292678308,11.8277296513985,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_80pct,severity_only,CRI,CRI_basic,0.95,13.3026,1.12469498072248,-12.1779050192775,0.91545292678308,11.8277296513985,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,concentrated_bus34,initial_probability_weighted_actual,SLLR,SLLR,0.95,8.5328,0.00065,-8.53215,0.999923706178077,13107.2196620584,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,concentrated_bus34,initial_probability_weighted_actual,SLFOR,SLFOR,0.95,6.2588,0.000685,-6.258115,0.999890394342303,9123.61516034985,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,concentrated_bus34,initial_probability_weighted_actual,SNVOR,SNVOR,0.95,3.8986,0.00065,-3.89795,0.999833017023286,5988.63287250384,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,concentrated_bus34,initial_probability_weighted_actual,CRI,CRI_recomputed,0.95,7.1512,0.00065,-7.15055,0.999908966340059,10984.9462365591,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,concentrated_bus34,initial_probability_weighted_actual,CRI,CRI_basic,0.95,7.1512,0.00065,-7.15055,0.999908966340059,10984.9462365591,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,distributed_30_39,initial_probability_weighted_actual,SLLR,SLLR,0.95,6.3899,0.000514,-6.389386,0.999919404072144,12407.572815534,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,distributed_30_39,initial_probability_weighted_actual,SLFOR,SLFOR,0.95,4.2521,0.00150290429068584,-4.25059709570931,0.999646315012111,2827.37407316052,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,distributed_30_39,initial_probability_weighted_actual,SNVOR,SNVOR,0.95,2.6697,0.000888296068066219,-2.66881170393193,0.999666893008593,3002.03733702015,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,distributed_30_39,initial_probability_weighted_actual,CRI,CRI_recomputed,0.95,5.2183,0.000726589364518619,-5.21757341063548,0.999860569682638,7172.03996440009,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,distributed_30_39,initial_probability_weighted_actual,CRI,CRI_basic,0.95,5.2183,0.00072658936451862,-5.21757341063548,0.999860569682638,7172.03996440008,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_11_28,initial_probability_weighted_actual,SLLR,SLLR,0.95,7.5361,0.000514,-7.535586,0.999931662274696,14633.2038834951,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_11_28,initial_probability_weighted_actual,SLFOR,SLFOR,0.95,6.0213,0.00111998781621877,-6.02018001218378,0.999813829633128,5371.42323304689,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_11_28,initial_probability_weighted_actual,SNVOR,SNVOR,0.95,6.5482,0.000685,-6.547515,0.99989523840212,9545.48104956268,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_11_28,initial_probability_weighted_actual,CRI,CRI_recomputed,0.95,7.0356,0.000603,-7.034997,0.999914150901963,11648.3443708609,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_11_28,initial_probability_weighted_actual,CRI,CRI_basic,0.95,7.0356,0.000603,-7.034997,0.999914150901963,11648.3443708609,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_12_00,initial_probability_weighted_actual,SLLR,SLLR,0.95,6.6351,0.000514,-6.634586,0.999922382492746,12883.6893203883,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_12_00,initial_probability_weighted_actual,SLFOR,SLFOR,0.95,4.7631,0.00150290429068584,-4.76159709570931,0.999684259416148,3167.15633401633,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_12_00,initial_probability_weighted_actual,SNVOR,SNVOR,0.95,4.9822,0.000888296068066219,-4.98131170393193,0.999821505381243,5602.40866782851,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_12_00,initial_probability_weighted_actual,CRI,CRI_recomputed,0.95,5.9301,0.000726589364518619,-5.92937341063548,0.999877305738213,8150.33903625491,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,wind_speed_scan,wind_speed_12_00,initial_probability_weighted_actual,CRI,CRI_basic,0.95,5.9301,0.00072658936451862,-5.92937341063548,0.999877305738213,8150.33903625489,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_40pct,initial_probability_weighted_actual,SLLR,SLLR,0.95,6.3899,0.000514,-6.389386,0.999919404072144,12407.572815534,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_40pct,initial_probability_weighted_actual,SLFOR,SLFOR,0.95,4.2521,0.00150290429068584,-4.25059709570931,0.999646315012111,2827.37407316052,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_40pct,initial_probability_weighted_actual,SNVOR,SNVOR,0.95,4.6697,0.000888296068066219,-4.66881170393193,0.999809560383402,5251.00713663819,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_40pct,initial_probability_weighted_actual,CRI,CRI_recomputed,0.95,5.6183,0.000726589364518619,-5.61757341063548,0.999870496549665,7721.80061169136,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_40pct,initial_probability_weighted_actual,CRI,CRI_basic,0.95,5.6183,0.00072658936451862,-5.61757341063548,0.999870496549665,7721.80061169135,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_60pct,initial_probability_weighted_actual,SLLR,SLLR,0.95,7.8006,0.000553,-7.800047,0.999928979831169,14080.5054151625,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_60pct,initial_probability_weighted_actual,SLFOR,SLFOR,0.95,5.8361,0.0027116935924341,-5.83338830640757,0.999535187346409,2151.40405694079,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_60pct,initial_probability_weighted_actual,SNVOR,SNVOR,0.95,6.2773,0.000999260887050966,-6.27630073911295,0.99984065430556,6275.66276084947,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_60pct,initial_probability_weighted_actual,CRI,CRI_recomputed,0.95,7.103,0.000829496812557383,-7.10217050318744,0.999883078038063,8552.71193411019,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_60pct,initial_probability_weighted_actual,CRI,CRI_basic,0.95,7.103,0.000829496812557383,-7.10217050318744,0.999883078038063,8552.71193411019,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_80pct,initial_probability_weighted_actual,SLLR,SLLR,0.95,14.0526,0.000514,-14.052086,0.999963351980178,27286.6019417476,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_80pct,initial_probability_weighted_actual,SLFOR,SLFOR,0.95,12.5517,0.0018208600953476,-12.5498791399047,0.999854851538023,6889.49718589956,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_80pct,initial_probability_weighted_actual,SNVOR,SNVOR,0.95,11.8034,0.000812729069461648,-11.8025872709305,0.999931059779341,14505.3193292074,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_80pct,initial_probability_weighted_actual,CRI,CRI_recomputed,0.95,13.3026,0.000639365533116988,-13.3019606344669,0.999951861629683,20773.4478388451,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,penetration_scan,penetration_80pct,initial_probability_weighted_actual,CRI,CRI_basic,0.95,13.3026,0.000639365533116989,-13.3019606344669,0.999951861629683,20773.4478388451,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,concentrated_bus34,initial_probability_weighted_display,SLLR,SLLR,0.95,8.5328,6.5,-2.0328,0.238233611682729,1.31273825957873,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,concentrated_bus34,initial_probability_weighted_display,SLFOR,SLFOR,0.95,6.2588,6.85,0.5912,0.0944589866333823,0.913693297271052,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,concentrated_bus34,initial_probability_weighted_display,SNVOR,SNVOR,0.95,3.8986,6.5,2.6014,0.667265000958036,0.599784523110073,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,concentrated_bus34,initial_probability_weighted_display,CRI,CRI_recomputed,0.95,7.1512,6.5,-0.6512,0.09106162727072,1.10018444612547,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,concentrated_bus34,initial_probability_weighted_display,CRI,CRI_basic,0.95,7.1512,6.5,-0.6512,0.09106162727072,1.10018444612547,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,distributed_30_39,initial_probability_weighted_display,SLLR,SLLR,0.95,6.3899,5.14,-1.2499,0.195605534420643,1.24317096436363,close,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,distributed_30_39,initial_probability_weighted_display,SLFOR,SLFOR,0.95,4.2521,15.0290429068584,10.7769429068584,2.53449833549542,0.282925515844663,wrong_scale,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,distributed_30_39,initial_probability_weighted_display,SNVOR,SNVOR,0.95,2.6697,8.88296068066219,6.21326068066219,2.32732455082505,0.300541654458762,wrong_scale,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,distributed_30_39,initial_probability_weighted_display,CRI,CRI_recomputed,0.95,5.2183,7.26589364518619,2.04759364518619,0.392387032711641,0.718190980577627,same_order,sigma=0.95 chain-risk VaR comparison
low_hidden_failure,topology_compare,distributed_30_39,initial_probability_weighted_display,CRI,CRI_basic,0.95,5.2183,7.2658936451862,2.0475936451862,0.392387032711643,0.718190980577626,same_order,sigma=0.95 chain-risk VaR comparison
