parameter_set_id,scenario_id,sigma,metric_name,var_value,sample_count,valid_sample_count,stage_probability_mode,wind_power_curve_profile,note
benchmark_calibrated_seed,wind_speed_11_28,0.98,CRI,2.73848650671089,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
benchmark_calibrated_seed,wind_speed_12_00,0.9,SLLR,0.856882874741266,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
benchmark_calibrated_seed,wind_speed_12_00,0.9,SLFOR,1.55972680812105,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
benchmark_calibrated_seed,wind_speed_12_00,0.9,SNVOR,0.739732114115328,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
benchmark_calibrated_seed,wind_speed_12_00,0.9,CRI,1.0823785547544,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
benchmark_calibrated_seed,wind_speed_12_00,0.95,SLLR,1.60548982499603,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
benchmark_calibrated_seed,wind_speed_12_00,0.95,SLFOR,2.61266968818087,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
benchmark_calibrated_seed,wind_speed_12_00,0.95,SNVOR,1.8534514195668,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
benchmark_calibrated_seed,wind_speed_12_00,0.95,CRI,1.95374415453932,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
benchmark_calibrated_seed,wind_speed_12_00,0.98,SLLR,1.95546365938053,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
benchmark_calibrated_seed,wind_speed_12_00,0.98,SLFOR,7.02967156934144,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
benchmark_calibrated_seed,wind_speed_12_00,0.98,SNVOR,3.2408832052022,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
benchmark_calibrated_seed,wind_speed_12_00,0.98,CRI,3.09560868881318,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
